date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2024-11-20,2024,11,20,East Asia,China,Antibiotic,Amoxicillin,13-25,129,28.22,852,667,0
2025-07-10,2025,7,10,Oceania,Australia,Vitamin,Vitamin C,65+,278,10.66,1038,199,0
2021-07-29,2021,7,29,South America,Argentina,Vitamin,Vitamin C,13-25,428,8.46,1068,559,1
2022-06-02,2022,6,2,Oceania,New Zealand,Antibiotic,Amoxicillin,46-65,376,25.83,25,986,1
2022-02-16,2022,2,16,Europe,France,Cardiovascular,Amlodipine,26-45,481,20.12,769,842,1
2021-03-15,2021,3,15,South America,Brazil,Cardiovascular,Atorvastatin,13-25,217,25.59,370,546,1
2023-01-21,2023,1,21,Africa,Nigeria,Pain_Relief,Paracetamol,13-25,440,9.58,535,489,0
2024-02-18,2024,2,18,Africa,Nigeria,Cough_Cold,Cough Syrup,0-12,437,13.21,293,757,0
2024-07-10,2024,7,10,North America,Mexico,Vitamin,Vitamin C,26-45,268,10.53,1070,179,0
2024-02-28,2024,2,28,Oceania,New Zealand,Cardiovascular,Amlodipine,13-25,31,29.69,167,576,0
2022-11-22,2022,11,22,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,13-25,461,13.39,326,60,1
2023-09-21,2023,9,21,South America,Colombia,Pain_Relief,Paracetamol,13-25,405,7.77,751,744,0
2024-03-03,2024,3,3,East Asia,China,Diabetes,Metformin,65+,409,13.29,1095,286,0
2021-05-10,2021,5,10,Europe,Germany,Diabetes,Metformin,46-65,316,12.18,1144,669,1
2025-08-17,2025,8,17,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,46-65,258,28.67,58,602,0
2020-07-29,2020,7,29,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,65+,97,25.03,963,173,1
2023-04-20,2023,4,20,Oceania,Australia,Chronic,Omeprazole,65+,83,44.01,692,826,0
2020-09-01,2020,9,1,North America,Canada,Vitamin,Vitamin C,26-45,435,9.51,767,833,1
2023-12-17,2023,12,17,Europe,UK,Cardiovascular,Amlodipine,46-65,21,22.79,398,970,0
2021-03-19,2021,3,19,Africa,Nigeria,Antibiotic,Azithromycin,13-25,285,24.01,1460,540,1
2023-07-03,2023,7,3,Africa,South Africa,Chronic,Omeprazole,65+,381,34.14,121,515,0
